119,85;11,98;0,12
119,17;11,92;0,12
119,34;11,93;0,12
120,02;12;0,12
119,85;11,98;0,12
111,35;11,13;0,11
61,88;6,19;0,06
1873,4;187,34;1,87
199,58;19,96;0,2
852,72;85,27;0,85
857,82;85,78;0,68
1374,62;137,46;1,37
1046,18;104,62;1,05
1050,77;105,08;1,05
1055,36;105,54;1,06
1969,79;196,98;1,97
1970,13;197,01;1,97
1966,9;196,69;1,97
1971,66;197,17;1,97
2251,48;225,15;2,25
2267,63;226,76;2,27
225,22;225,52;2,26
2256,41;225,64;2,26
2247,23;224,72;2,25
2255,73;225,57;2,26
2246,72;224,67;2,25
2033,54;203,35;203
2028,78;202,88;203
2027,25;202,72;2,03
2026,57;202,66;2,03
2035,07;203,51;2,04
2045,78;204,58;2,05
2050,37;205,04;2,05
119,85;11,98;0,12
119,17;11,92;0,12
119,34;11,93;0,12
120,02;12;0,12
119,85;11,98;0,12
111,35;11,13;0,11
61,88;6,19;0,06
1873,4;187,34;1,87
199,58;19,96;0,2
852,72;85,27;0,85
857,82;85,78;0,68
1374,62;137,46;1,37
1046,18;104,62;1,05
1050,77;105,08;1,05
1055,36;105,54;1,06
1969,79;196,98;1,97
1970,13;197,01;1,97
1966,9;196,69;1,97
1971,66;197,17;1,97
1055,36;105,54;1,06
1969,79;196,98;1,97
1970,13;197,01;1,97
1966,9;196,69;1,97
1971,66;197,17;1,97
2251,48;225,15;2,25
2267,63;226,76;2,27
225,22;225,52;2,26
2256,41;225,64;2,26
2247,23;224,72;2,25
2255,73;225,57;2,26
2246,72;224,67;2,25
2033,54;203,35;203
2028,78;202,88;203
2027,25;202,72;2,03
2026,57;202,66;2,03
2035,07;203,51;2,04
2045,78;204,58;2,05
2050,37;205,04;2,05
119,85;11,98;0,12
119,17;11,92;0,12
119,34;11,93;0,12
120,02;12;0,12
119,85;11,98;0,12
111,35;11,13;0,11
61,88;6,19;0,06
1873,4;187,34;1,87
199,58;19,96;0,2
852,72;85,27;0,85
1873,4;187,34;1,87
199,58;19,96;0,2
852,72;85,27;0,85
857,82;85,78;0,68
1374,62;137,46;1,37
1046,18;104,62;1,05
1050,77;105,08;1,05
1055,36;105,54;1,06
1969,79;196,98;1,97
1970,13;197,01;1,97
1966,9;196,69;1,97
1971,66;197,17;1,97
2251,48;225,15;2,25
2267,63;226,76;2,27
225,22;225,52;2,26
2256,41;225,64;2,26
2247,23;224,72;2,25
